INSERT INTO `sportorvos`(`Sazon`, `Iszam`, `Utca`, `Tszam`, `Nev`) VALUES
('','3031','Őzugró utca','309599690','Bogdán Gotlíb'),
('','5382','Zala utca','302867253','Takács Idrisz'),
('','9543','Csemetekert utca','302605116','Bognár Lél'),
('','2374','Alsóbábonyibérc dűlő','304617870','Kozma Szebáld'),
('','2860','Munkácsy utca','305506392','Székely Balambér'),
('','5295','Som utca','309911095','Lakatos Radován'),
('','9033','Tapoly utca','308186628','Novák Pamfil'),
('','7108','Honvéd utca','309346131','Gál Petres'),
('','3543','I. sor','305189225','Vörös Lád'),
('','2561','Kalló utca','308659457','Király Edekon'),
('','6882','Nyár utca','303791117','Szőke Alap'),
('','5920','Dalárda utca','306047072','Péter Zerénd'),
('','7044','Zsák utca','301717072','Hajdu Koriolán'),
('','2643','Hideg sor','307040293','Gál Valérió'),
('','7347','Benedek Elek utca','302368778','Lukács Ménrót'),
('','7639','Cserje utca','305811151','Somogyi Amand'),
('','9868','Vadas Jenő utca','303623353','Fülöp Bazsó'),
('','3746','Lovagi tornák tere','308721579','Orbán Daniló'),
('','5666','Szarkahegy - Orgona dűlő','303973949','Orsós Aurél'),
('','3583','Gólyahír dűlőút','301880553','Kozma Józsué'),
('','7592','Réz utca','306454611','Váradi Makár'),
('','6129','Közdomb VI. sor','306797451','Fodor Enrikó'),
('','4587','Nagy Kőkötő utca','307647292','Pataki Zeusz'),
('','7529','Pazár István sétány','303181661','Fehér Eugén'),
('','6092','Kőpad utca','302804669','Nagy Janek'),
('','8850','Salakmotor pálya','308931811','Balla Ignác'),
('','5149','Barát út','302119332','Magyar Fadi'),
('','3943','Gyöngyvirág utca','305757407','Fehér Marcselló'),
('','7561','Töbrös utca','306082363','Juhász Törtel'),
('','8447','Barát út','308071801','Kocsis Hakim');

INSERT INTO `diak`(`Dazon`, `Szulev`, `Nev`, `Neptunkod`, `Sazon`) VALUES
('','2003-7-25','Fekete Alieu','A8KOR9','1'),
('','1999-4-8','Németh Cseke','GCTVJ3','2'),
('','1999-7-4','Magyar Zakari','MRT28C','3'),
('','1999-9-4','Szücs Derek','MXUQ8O','1'),
('','1998-4-15','Balogh Gede','MBCB6Y','20'),
('','1999-4-1','Berki Zámor','FJT5BZ','7'),
('','1999-5-20','Bálint Rájen','P2TGWC','3'),
('','2000-7-20','Mezei Filomén','UJ261Z','6'),
('','2000-7-7','Magyar Edvin','SA34OJ','11'),
('','2002-3-16','Pásztor Áser','TNGXSD','10'),
('','2002-5-19','Szűcs Zete','NYT3HV','12'),
('','2000-5-9','Orbán Dimitrij','9SUSYY','2'),
('','2000-6-15','Veres Aurélián','RPUEDG','13'),
('','2004-1-22','Sándor Holden','JRAALJ','14'),
('','2000-8-4','Jakab Szamir','TASDY6','15'),
('','2003-4-19','Fazekas Ildár','NSNJHF','16'),
('','1998-3-24','Balog* Gandalf','X5UW9R','18'),
('','2000-4-12','Bálint Penton','A5SYVF','21'),
('','2002-5-25','Pásztor Perjámos','SUQGOF','5'),
('','2005-6-8','Fazekas Ódor','4B97C8','15'),
('','2001-11-2','Sárközi Karcsa','29FB4M','12'),
('','1999-10-19','Szőke Kolos','FHOMO2','11'),
('','2005-2-15','Simon Dimitrij','KTST8V','23'),
('','1999-1-4','Mezei Perjámos','CCWEMP','24'),
('','2004-4-12','Berki Józsua','VG6H7Y','30'),
('','1998-4-8','Halász Lambert','1U8GBH','26'),
('','1999-5-6','Hegedűs Konor','TU5XP7','27'),
('','2002-2-1','Szalai Hadi','7N1D4A','28'),
('','2005-4-11','Bognár Ráfis','T9B4EV','9'),
('','2005-6-24','Budai Gábos','F1QDVE','25'),
('','1998-4-23','Fodor Surány','KBXW8L','4'),
